,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__l2_regularization,param_classifier__learning_rate,param_classifier__max_bins,param_classifier__max_leaf_nodes,param_classifier__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
249,0.7658953666687012,0.07848655864319631,0.040436601638793944,0.002247006700936967,0.16222080427381266,0.1228976471871032,46,16,67,"{'classifier__l2_regularization': 0.16222080427381266, 'classifier__learning_rate': 0.1228976471871032, 'classifier__max_bins': 46, 'classifier__max_leaf_nodes': 16, 'classifier__min_samples_leaf': 67}",0.8545107137982804,0.8587223587223587,0.8592683592683593,0.8553098553098553,0.8542178542178542,0.8564058282633414,0.0021512899895842,55
250,0.8890061378479004,0.0646018097939969,0.04624195098876953,0.0038713943528217573,467.2778606727667,0.026836789193762364,14,15,22,"{'classifier__l2_regularization': 467.2778606727667, 'classifier__learning_rate': 0.026836789193762364, 'classifier__max_bins': 14, 'classifier__max_leaf_nodes': 15, 'classifier__min_samples_leaf': 22}",0.8259860788863109,0.8314223314223315,0.8299208299208299,0.8252798252798252,0.8236418236418236,0.8272501778302243,0.0029339292236522986,196
251,0.3094809532165527,0.022132598976810244,0.04604177474975586,0.001550527702933913,0.00022316547233603958,0.08794184268768052,245,2,85,"{'classifier__l2_regularization': 0.00022316547233603958, 'classifier__learning_rate': 0.08794184268768052, 'classifier__max_bins': 245, 'classifier__max_leaf_nodes': 2, 'classifier__min_samples_leaf': 85}",0.82666848642009,0.8209118209118209,0.8230958230958231,0.8224133224133224,0.8274638274638275,0.8241106560609769,0.0025270389143420345,199
252,0.23941731452941895,0.05907013244672527,0.031028079986572265,0.0030359801843265256,9.068125568776902e-06,1.1111489580412024,65,7,56,"{'classifier__l2_regularization': 9.068125568776902e-06, 'classifier__learning_rate': 1.1111489580412024, 'classifier__max_bins': 65, 'classifier__max_leaf_nodes': 7, 'classifier__min_samples_leaf': 56}",0.8524634911969429,0.8574938574938575,0.8554463554463555,0.8535353535353535,0.8501228501228502,0.8538123815590719,0.002519207322812826,87
253,1.2969775199890137,0.15854390191313578,0.031028079986572265,0.0017903774013904832,2.8296973332046997,0.3854584665418042,8,155,5,"{'classifier__l2_regularization': 2.8296973332046997, 'classifier__learning_rate': 0.3854584665418042, 'classifier__max_bins': 8, 'classifier__max_leaf_nodes': 155, 'classifier__min_samples_leaf': 5}",0.8394977480551385,0.8457548457548457,0.8412503412503413,0.8338793338793339,0.8396123396123396,0.8399989217103998,0.0038091124542018067,157
254,0.4299903392791748,0.03516935567325426,0.041037368774414065,0.0014154934806797355,31.3982113924702,0.0022982157653152193,65,5,65,"{'classifier__l2_regularization': 31.3982113924702, 'classifier__learning_rate': 0.0022982157653152193, 'classifier__max_bins': 65, 'classifier__max_leaf_nodes': 5, 'classifier__min_samples_leaf': 65}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,336
255,0.7132475852966309,0.15980416303912345,0.033035898208618165,0.0025370513729966533,3.750318479629814e-06,0.23225200956675293,47,35,31,"{'classifier__l2_regularization': 3.750318479629814e-06, 'classifier__learning_rate': 0.23225200956675293, 'classifier__max_bins': 47, 'classifier__max_leaf_nodes': 35, 'classifier__min_samples_leaf': 31}",0.8525999727036987,0.85995085995086,0.858039858039858,0.8503958503958504,0.8562653562653563,0.8554503794711247,0.003501342425245622,67
256,1.0121189117431642,0.046506892993011424,0.04103727340698242,0.002099420649159398,557.7159335142808,0.007318929267187084,59,83,84,"{'classifier__l2_regularization': 557.7159335142808, 'classifier__learning_rate': 0.007318929267187084, 'classifier__max_bins': 59, 'classifier__max_leaf_nodes': 83, 'classifier__min_samples_leaf': 84}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,336
257,1.8046380996704101,0.29869412955533775,0.03983616828918457,0.003432343677156298,357.136174269928,0.8255730210605917,8,58,7,"{'classifier__l2_regularization': 357.136174269928, 'classifier__learning_rate': 0.8255730210605917, 'classifier__max_bins': 8, 'classifier__max_leaf_nodes': 58, 'classifier__min_samples_leaf': 7}",0.8404531186024293,0.8458913458913458,0.8423423423423423,0.8408408408408409,0.8396123396123396,0.8418279974578595,0.002215818624985179,149
258,0.2768514156341553,0.020143651492772155,0.030027151107788086,0.0010964539751630318,6.46125207322444e-05,0.36952875468647534,43,18,7,"{'classifier__l2_regularization': 6.46125207322444e-05, 'classifier__learning_rate': 0.36952875468647534, 'classifier__max_bins': 43, 'classifier__max_leaf_nodes': 18, 'classifier__min_samples_leaf': 7}",0.8524634911969429,0.8555828555828556,0.8553098553098553,0.8503958503958504,0.8516243516243516,0.8530752808219713,0.0020464644542989826,91
259,0.6157588481903076,0.04222544490261598,0.04484086036682129,0.003766227574984591,0.32384600705733524,0.012824603115469119,8,8,6,"{'classifier__l2_regularization': 0.32384600705733524, 'classifier__learning_rate': 0.012824603115469119, 'classifier__max_bins': 8, 'classifier__max_leaf_nodes': 8, 'classifier__min_samples_leaf': 6}",0.7996451480824348,0.7982527982527983,0.7960687960687961,0.7975702975702975,0.7974337974337974,0.7977941674816249,0.0011656210524537951,285
260,0.5042579174041748,0.020633610719203638,0.0420379638671875,0.0012660634031645755,0.01400207185058758,0.011920211594156325,3,5,50,"{'classifier__l2_regularization': 0.01400207185058758, 'classifier__learning_rate': 0.011920211594156325, 'classifier__max_bins': 3, 'classifier__max_leaf_nodes': 5, 'classifier__min_samples_leaf': 50}",0.7787634775487922,0.7863772863772863,0.7866502866502867,0.7811902811902812,0.7835107835107835,0.7832984230554859,0.0030255405714669707,317
